loiter ; околачиваться
faucet ; водопроводный кран
crumb ; крошить
elusive ; ускользающий
preacher ; проповедник
baleen ; китовый ус
medley ; поппури
retain ; удерживать
colloquial ; разговорный
prejudice ; предубеждение
slam ; захлопывать
nacelle ; гондола
cupboard ; буфет
bunk ; койка
vault ; прыгать с упором
snout ; рыло
mobster; бандит
menial; чёрная (работа)
attire; одеяние
swift; стремительный
compassion; сострадание
raisins; изюм
stutter; заикаться
untidy; неопрятный
liability; предрасположенность
dirt; земля
mud; грязь
porcelain; фарфор
chime; звонить в колокол
treacherous; предательский
showcase; витрина
engrave; гравировать
walrus; морж
conspicuous; бросающийся в глаза
suspend; подвешивать
ponder; размышлять
helm; штурвал
notch; метка
molt; линять
jug; кувшин
spruce; ель
quip; язвить